index,Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International,Airline_Code,Airport_Code
582,01/10/2007,791916,145242,2584,197,352819,30253,651725,114296,FA,NSA
583,01/11/2007,769460,115823,2477,189,346107,29650,640126,99147,FA,NSA
584,01/12/2007,783838,129290,2513,215,347203,33727,643596,110230,FA,NSA
585,01/01/2008,780981,127525,2517,198,328494,27864,607142,95735,FA,NSA
586,01/02/2008,705261,115680,2281,178,305042,25473,564108,87680,FA,NSA
587,01/03/2008,743655,126223,2391,206,351466,34554,649421,111789,FA,NSA
588,01/04/2008,734006,138442,2375,196,343433,29831,642934,107895,FA,NSA
589,01/05/2008,763233,150192,2510,212,363895,34222,673279,125742,FA,NSA
590,01/06/2008,727207,151023,2431,210,362684,35897,666198,132257,FA,NSA
591,01/07/2008,757403,153009,2495,214,369678,34076,684265,117833,FA,NSA
592,01/08/2008,774008,152753,2537,211,377204,35203,702540,128705,FA,NSA
593,01/09/2008,649100,150093,2203,202,298423,28484,542456,112154,FA,NSA
594,01/10/2008,678366,145089,2269,208,315174,30333,572365,109724,FA,NSA
595,01/11/2008,656938,110203,2223,176,302724,26616,543541,89635,FA,NSA
596,01/12/2008,686639,111760,2343,177,323716,27035,582380,90476,FA,NSA
597,01/01/2009,686964,113900,2340,182,298047,23108,540814,82535,FA,NSA
598,01/02/2009,621120,96247,2109,143,275189,18740,497317,65839,FA,NSA
599,01/03/2009,691899,114425,2336,185,332439,27347,598490,93117,FA,NSA
600,01/04/2009,696543,110556,2282,179,337031,26580,614003,90002,FA,NSA
601,01/05/2009,723826,111983,2350,166,338895,23889,623270,90128,FA,NSA
602,01/06/2009,694398,107297,2293,152,353914,26633,645602,98107,FA,NSA
603,01/07/2009,722504,109151,2383,153,369260,24896,668332,89212,FA,NSA
604,01/08/2009,719460,108480,2384,157,365358,24457,662016,86268,FA,NSA
605,01/09/2009,658574,107646,2211,164,307795,25075,559621,87957,FA,NSA
606,01/10/2009,683698,114095,2290,185,328450,28408,592230,94774,FA,NSA
607,01/11/2009,666390,111157,2215,180,304884,27186,546848,90070,FA,NSA
608,01/12/2009,706661,112310,2326,183,323921,26796,586132,90177,FA,NSA
609,01/01/2010,710894,113852,2342,177,302374,23090,546109,83521,FA,NSA
610,01/02/2010,626555,100462,2089,158,264511,21289,478340,72205,FA,NSA
611,01/03/2010,717192,113664,2386,175,336728,27933,610129,95223,FA,NSA
612,01/04/2010,709503,100982,2328,171,339685,24780,614428,79745,FA,NSA
613,01/05/2010,730613,114572,2381,185,341340,28815,620038,98843,FA,NSA
614,01/06/2010,711838,111301,2360,179,360034,30331,658289,102402,FA,NSA
615,01/07/2010,738759,111688,2489,183,370883,29299,674071,94102,FA,NSA
616,01/08/2010,725174,113924,2431,178,372092,28293,669426,94594,FA,NSA
617,01/09/2010,674268,106245,2211,149,312138,22478,564620,84485,FA,NSA
618,01/10/2010,697732,114048,2287,185,333261,28108,600486,93932,FA,NSA
619,01/11/2010,672319,110263,2195,167,311742,26094,562452,90388,FA,NSA
620,01/12/2010,682592,105953,2281,151,321343,22759,580470,80004,FA,NSA
621,01/01/2011,682565,108592,2290,153,297302,21097,538467,77066,FA,NSA
622,01/02/2011,613590,99904,2049,138,270114,19809,486773,72397,FA,NSA
623,01/03/2011,700338,108642,2345,153,331397,22964,593660,81026,FA,NSA
624,01/04/2011,701805,153356,2332,202,341234,31664,609938,121524,FA,NSA
625,01/05/2011,723627,160977,2403,209,353334,34311,634787,139414,FA,NSA
626,01/06/2011,717579,159053,2435,207,366372,36247,655153,142346,FA,NSA
627,01/07/2011,741218,163816,2535,216,380451,35045,677743,131033,FA,NSA
628,01/08/2011,729461,158066,2507,197,378718,31814,667043,122955,FA,NSA
629,01/09/2011,691672,138708,2383,147,338088,24257,598847,104769,FA,NSA
630,01/10/2011,709798,150833,2451,178,352155,29697,623588,121125,FA,NSA
631,01/11/2011,664414,129789,2302,150,330452,23589,584481,101265,FA,NSA
632,01/12/2011,687383,133195,2339,146,333372,23820,592107,107320,FA,NSA
633,01/01/2012,699394,135229,2387,143,329652,22339,587286,103294,FA,NSA
634,01/02/2012,680288,132921,2289,141,315240,21570,558181,98948,FA,NSA
635,01/03/2012,743457,146427,2481,155,369824,25939,656109,117541,FA,NSA
636,01/04/2012,732261,143898,2410,169,359268,27168,633422,118175,FA,NSA
637,01/05/2012,761815,149791,2503,175,374918,30681,665935,136603,FA,NSA
638,01/06/2012,736477,144206,2440,170,379291,31810,678390,135170,FA,NSA
639,01/07/2012,797018,161487,2662,208,400393,33901,722351,132634,FA,NSA
640,01/08/2012,790487,160876,2652,203,405094,35161,724102,141362,FA,NSA
641,01/09/2012,716832,153713,2388,187,340102,27885,603138,119129,FA,NSA
642,01/10/2012,730678,160716,2468,205,349364,31435,620331,133744,FA,NSA
643,01/11/2012,716055,147339,2377,184,343337,27501,610369,121747,FA,NSA
644,01/12/2012,737662,148291,2470,177,351135,27416,628662,120553,FA,NSA
645,01/01/2013,706719,134168,2428,143,330970,21823,589358,105021,FA,NSA
646,01/02/2013,641718,121268,2211,138,300204,20979,533011,96008,FA,NSA
647,01/03/2013,730352,149447,2494,178,369653,29700,659512,130237,FA,NSA
648,01/04/2013,717997,154462,2471,203,358333,30313,638813,124026,FA,NSA
649,01/05/2013,746472,160349,2571,212,368244,34320,660858,143979,FA,NSA
650,01/06/2013,757725,163206,2589,227,387585,38669,703180,150433,FA,NSA
651,01/07/2013,793707,175790,2702,247,394847,40201,719880,148502,FA,NSA
652,01/08/2013,790462,172850,2709,236,399255,40175,718808,155151,FA,NSA
653,01/09/2013,715122,160146,2511,179,329756,28424,583339,125841,FA,NSA
654,01/10/2013,751903,168922,2630,202,356248,32755,630320,142453,FA,NSA
655,01/11/2013,729709,157650,2526,187,333723,28151,594285,123938,FA,NSA
656,01/12/2013,777595,176771,2652,191,371368,32111,669628,143157,FA,NSA
657,01/01/2014,721420,193370,2552,177,338412,29510,594979,150032,FA,NSA
658,01/02/2014,653716,172103,2342,171,307162,26554,535077,128160,FA,NSA
659,01/03/2014,756012,201405,2693,209,377665,35849,665559,165282,FA,NSA
660,01/04/2014,732496,198925,2634,199,362783,33198,639183,153650,FA,NSA
661,01/05/2014,759327,215296,2756,232,371444,41124,656168,187273,FA,NSA
662,01/06/2014,754963,210669,2770,254,383138,44388,683391,185572,FA,NSA
663,01/07/2014,785427,220597,2872,278,394954,43546,701376,175577,FA,NSA
664,01/08/2014,752675,218304,2784,261,385818,45388,675325,188947,FA,NSA
665,01/09/2014,681288,204069,2578,197,321107,32139,554806,156715,FA,NSA
666,01/10/2014,710595,208279,2690,188,345179,32682,595575,169171,FA,NSA
667,01/11/2014,693167,193684,2587,182,331746,29471,572385,143299,FA,NSA
668,01/12/2014,754685,200982,2730,207,355329,33981,623456,155427,FA,NSA
669,01/01/2015,687546,206654,2593,191,319270,31221,549379,161253,FA,NSA
670,01/02/2015,613263,179758,2314,170,296403,28168,508999,139128,FA,NSA
671,01/03/2015,749526,212826,2774,217,376712,37844,654317,179466,FA,NSA
672,01/04/2015,732652,252019,2673,239,358375,39958,621143,189758,FA,NSA
673,01/05/2015,742878,257952,2700,243,359420,44600,627426,213050,FA,NSA
674,01/06/2015,748183,260423,2684,290,386442,54869,682340,237681,FA,NSA
675,01/07/2015,984308,269019,3546,304,512583,54851,890624,222202,FA,NSA
676,01/08/2015,967227,279291,3498,319,501759,60646,866980,249782,FA,NSA
677,01/09/2015,857017,269103,3187,312,424334,54768,732925,223893,FA,NSA
678,01/10/2015,888654,275217,3282,329,452106,60073,774962,239871,FA,NSA
679,01/11/2015,866281,251800,3147,317,433225,51634,741945,199219,FA,NSA
680,01/12/2015,931937,303384,3349,355,457983,58849,797644,229398,FA,NSA
681,01/01/2016,851591,328023,3126,369,413080,58085,707554,262048,FA,NSA
682,01/02/2016,813657,341454,2999,355,387970,54537,668736,249489,FA,NSA
683,01/03/2016,936272,383956,3406,407,477275,68025,827721,291865,FA,NSA
684,01/04/2016,907913,372563,3266,398,448663,63215,783585,276988,FA,NSA
685,01/05/2016,937131,385289,3343,404,466777,65997,825989,290506,FA,NSA
686,01/06/2016,1088673,393068,3944,426,574533,79273,1001033,336371,FA,NSA
687,01/07/2016,1134208,435836,4069,465,584850,82641,1019523,360951,FA,NSA
688,01/08/2016,1077730,424159,3863,439,547049,77782,956308,347615,FA,NSA
689,01/09/2016,876072,443469,3201,390,446724,72052,776378,355826,FA,NSA
690,01/10/2016,917243,473544,3325,409,463492,79856,807366,408679,FA,NSA
691,01/11/2016,891660,427131,3178,395,444777,68915,780047,343328,FA,NSA
692,01/12/2016,968373,487054,3383,459,453673,81510,811955,389228,FA,NSA
693,01/01/2017,904987,,3116,,407286,,736444,,FA,NSA
694,01/02/2017,796169,,2737,,356871,,641756,,FA,NSA
695,01/03/2017,917308,,3129,,449426,,802943,,FA,NSA
696,01/10/2002,404513,14979,1085,62,157868,5785,293977,8367,GA,NSA
697,01/11/2002,391981,14574,1047,60,150065,6034,271498,8644,GA,NSA
698,01/12/2002,399919,14967,1083,62,168651,7525,315874,11567,GA,NSA
699,01/01/2003,397156,14821,1083,62,152462,5312,286738,8496,GA,NSA
700,01/02/2003,346999,13378,954,56,131201,4105,244617,6135,GA,NSA
701,01/03/2003,380170,14522,993,61,139518,5306,270609,7704,GA,NSA
702,01/04/2003,372043,14315,1001,60,135804,6060,263749,8985,GA,NSA
703,01/05/2003,359574,14785,1023,62,145472,6437,280286,9389,GA,NSA
704,01/06/2003,376192,14331,1076,60,177499,6877,340347,10301,GA,NSA
705,01/07/2003,406599,14788,1146,62,191455,8787,369629,12734,GA,NSA
706,01/08/2003,430849,14757,1177,62,200038,8273,376029,11875,GA,NSA
707,01/09/2003,438505,14301,1186,60,146412,5585,274746,7973,GA,NSA
708,01/10/2003,465561,14487,1252,61,170619,6511,324424,9271,GA,NSA
709,01/11/2003,427227,14315,1177,60,159268,7515,292189,10853,GA,NSA
710,01/12/2003,432069,14786,1218,62,177135,8430,329156,12499,GA,NSA
711,01/01/2004,402778,14488,1136,61,154735,6043,283772,8393,GA,NSA
712,01/02/2004,377273,11281,1064,49,144870,4072,264343,5770,GA,NSA
713,01/03/2004,461217,12235,1235,53,183355,4615,357701,6523,GA,NSA
714,01/04/2004,456791,14306,1205,60,183549,6586,359206,9857,GA,NSA
715,01/05/2004,471264,14782,1238,62,179567,7406,351965,10715,GA,NSA
716,01/06/2004,452369,14310,1194,60,200621,8559,396430,12046,GA,NSA
717,01/07/2004,462767,14550,1228,61,211263,9579,416646,13520,GA,NSA
718,01/08/2004,460780,14850,1225,62,208067,8921,400561,12426,GA,NSA
719,01/09/2004,406964,14403,1096,60,158329,5792,302573,7779,GA,NSA
720,01/10/2004,450525,14874,1207,62,176136,5750,346016,7819,GA,NSA
721,01/11/2004,440564,14408,1167,60,175162,6263,335658,8709,GA,NSA
722,01/12/2004,452098,15108,1200,63,180942,8720,342791,12762,GA,NSA
723,01/01/2005,451995,14599,1194,61,170816,7665,320239,10903,GA,NSA
724,01/02/2005,389333,5489,965,28,144047,2672,284811,3554,GA,NSA
725,01/03/2005,429692,6078,1068,31,183317,3696,367402,4882,GA,NSA
726,01/04/2005,418458,5882,1039,30,169839,3035,336446,3950,GA,NSA
727,01/05/2005,466061,6078,1105,31,177305,3252,363365,4248,GA,NSA
728,01/06/2005,457732,5882,1071,30,194150,3037,399208,4297,GA,NSA
729,01/07/2005,481762,6078,1115,31,214456,4117,437944,5749,GA,NSA
730,01/08/2005,472368,6078,1106,31,210196,3519,424231,4829,GA,NSA
731,01/09/2005,463731,5868,1118,30,162574,2149,329809,3172,GA,NSA
732,01/10/2005,481659,6064,1155,31,166444,3043,339631,4175,GA,NSA
733,01/11/2005,446299,5880,1081,30,166706,3309,335058,4620,GA,NSA
734,01/12/2005,442439,6066,1055,31,167610,4141,335945,5127,GA,NSA
735,01/01/2006,396321,5097,962,26,144256,2844,278619,3499,GA,NSA
736,01/02/2006,343767,3137,850,16,130727,1918,253743,2141,GA,NSA
737,01/03/2006,449270,6078,1084,31,181643,3195,361187,3743,GA,NSA
738,01/04/2006,433720,6573,1069,33,172603,4091,346173,5018,GA,NSA
739,01/05/2006,444161,7000,1135,35,160487,3386,315136,4165,GA,NSA
740,01/06/2006,473085,8385,1189,38,199352,4495,402302,6075,GA,NSA
741,01/07/2006,493247,10660,1213,41,213011,7161,429474,9634,GA,NSA
742,01/08/2006,486599,10007,1219,39,209113,5777,421206,7151,GA,NSA
743,01/09/2006,430735,9223,1095,40,152849,3900,306763,4330,GA,NSA
744,01/10/2006,450988,8538,1144,39,170926,4860,343886,5511,GA,NSA
745,01/11/2006,429807,8277,1093,37,168950,5741,336973,6726,GA,NSA
746,01/12/2006,452232,28141,1152,109,176534,16053,355192,24741,GA,NSA
747,01/01/2007,416842,39970,1098,151,150667,14760,292875,22273,GA,NSA
748,01/02/2007,366895,34224,975,126,139256,12106,272709,18620,GA,NSA
749,01/03/2007,439207,33994,1141,126,186792,14433,372783,23549,GA,NSA
750,01/04/2007,412178,31151,1111,115,177578,13607,351966,20722,GA,NSA
751,01/05/2007,409974,25196,1115,99,169634,12046,338167,17384,GA,NSA
752,01/06/2007,455328,35402,1263,136,206111,18321,412059,28517,GA,NSA
753,01/07/2007,491381,41753,1356,157,222675,23132,442844,36914,GA,NSA
754,01/08/2007,482010,36379,1329,138,218708,19334,433278,29243,GA,NSA
755,01/09/2007,436286,20034,1194,83,164986,9298,335461,12022,GA,NSA
756,01/10/2007,455068,18654,1240,80,180257,9593,364195,12480,GA,NSA
757,01/11/2007,456009,25315,1233,99,179147,13977,358532,20895,GA,NSA
758,01/12/2007,459799,32860,1239,127,181780,19484,364216,30380,GA,NSA
759,01/01/2008,407742,26727,1111,104,153492,13648,306428,20657,GA,NSA
760,01/02/2008,358011,24015,978,89,135804,10370,271187,15670,GA,NSA
761,01/03/2008,401651,32309,1100,120,172940,16509,347943,26225,GA,NSA
762,01/04/2008,376543,24611,1020,90,160064,12124,326117,18580,GA,NSA
763,01/05/2008,351418,24761,968,92,151302,13695,308748,19850,GA,NSA
764,01/06/2008,425974,30510,1125,105,189740,17660,390807,27270,GA,NSA
765,01/07/2008,445912,32048,1148,110,199851,18800,408949,29063,GA,NSA
766,01/08/2008,420556,22427,1089,79,189540,13269,384890,18345,GA,NSA
767,01/09/2008,355837,6723,933,30,150026,5013,303881,5233,GA,NSA
768,01/10/2008,375537,9406,996,44,160830,6439,324394,6955,GA,NSA
769,01/11/2008,368795,12390,982,52,156972,7486,312944,9106,GA,NSA
770,01/12/2008,389302,23630,1027,87,171996,13674,343489,20892,GA,NSA
771,01/01/2009,364834,18397,972,66,145251,8769,287875,12977,GA,NSA
772,01/02/2009,320399,17691,871,61,129653,7849,257361,12222,GA,NSA
773,01/03/2009,392190,18742,1029,58,166141,8330,332785,13752,GA,NSA
774,01/04/2009,371753,15561,982,47,163342,7701,330543,12920,GA,NSA
775,01/05/2009,364013,14045,982,46,160515,5657,328602,8730,GA,NSA
776,01/06/2009,371844,16868,1013,60,176099,10553,354309,15100,GA,NSA
777,01/07/2009,404125,99752,1119,108,191155,21746,378609,89066,GA,NSA
778,01/08/2009,388735,86963,1089,89,185304,15855,363304,60931,GA,NSA
779,01/09/2009,343822,62562,917,50,150309,8991,307185,46638,GA,NSA
780,01/10/2009,366479,66699,967,56,159315,11629,326172,58810,GA,NSA
781,01/11/2009,350393,76395,933,68,147522,12199,297067,57676,GA,NSA
782,01/12/2009,368809,97166,973,113,156010,20647,313340,84118,GA,NSA
783,01/01/2010,514585,167932,1526,130,214965,28157,408368,147735,GA,NSA
784,01/02/2010,458475,149888,1392,108,198126,22362,373616,121170,GA,NSA
785,01/03/2010,563372,145897,1668,104,261785,23435,498306,114790,GA,NSA
786,01/04/2010,554875,140127,1557,98,250343,21230,493298,108549,GA,NSA
787,01/05/2010,569975,146510,1555,97,248957,22109,492764,116254,GA,NSA
788,01/06/2010,598457,119582,1689,116,289606,23807,562549,106974,GA,NSA
789,01/07/2010,630367,127279,1794,134,299238,28316,580832,120934,GA,NSA
790,01/08/2010,617716,127464,1765,132,298705,25495,578388,108239,GA,NSA
791,01/09/2010,563310,111241,1622,83,245992,18071,481984,95853,GA,NSA
792,01/10/2010,583440,117181,1689,84,258474,19790,502379,108503,GA,NSA
793,01/11/2010,544141,138208,1577,96,239949,22520,462537,116121,GA,NSA
794,01/12/2010,558840,149367,1627,124,250484,27836,479507,131337,GA,NSA
795,01/01/2011,564944,151025,1631,134,233669,27095,450140,132710,GA,NSA
796,01/02/2011,520251,162537,1521,141,218321,25438,422025,128488,GA,NSA
797,01/03/2011,597260,193298,1787,177,274067,31053,526250,136282,GA,NSA
798,01/04/2011,547070,124773,1601,128,250797,23289,489331,103148,GA,NSA
799,01/05/2011,562395,147678,1629,128,258624,26078,506661,124087,GA,NSA
800,01/06/2011,589235,171564,1683,156,278558,29790,541868,141086,GA,NSA
801,01/07/2011,620443,177550,1734,164,291266,32633,569387,152605,GA,NSA
802,01/08/2011,605519,177645,1693,162,291505,29860,566521,146480,GA,NSA
803,01/09/2011,564344,160011,1600,130,253222,22869,500504,127693,GA,NSA
804,01/10/2011,590302,167062,1652,130,261814,23146,521237,131021,GA,NSA
805,01/11/2011,572695,153664,1569,130,251128,23058,505682,118771,GA,NSA
806,01/12/2011,555369,164131,1495,172,241400,31423,489549,140391,GA,NSA
807,01/01/2012,537691,158668,1473,141,226250,25869,462849,132774,GA,NSA
808,01/02/2012,507870,146874,1387,120,210342,22060,433386,119464,GA,NSA
809,01/03/2012,588562,166510,1642,152,264918,28931,535119,135803,GA,NSA
810,01/04/2012,561576,172442,1595,140,255511,24392,507746,119423,GA,NSA
811,01/05/2012,580084,179407,1639,127,258742,25952,516873,141043,GA,NSA
812,01/06/2012,606124,166620,1696,150,283161,30781,564402,148568,GA,NSA
813,01/07/2012,627049,166401,1759,161,289760,33419,574589,152998,GA,NSA
814,01/08/2012,629950,169100,1786,163,296418,30859,584134,141530,GA,NSA
815,01/09/2012,565770,154668,1615,121,239247,25284,472028,136528,GA,NSA
816,01/10/2012,585996,161574,1661,127,259754,24953,514428,136818,GA,NSA
817,01/11/2012,571629,158227,1588,130,253661,24552,502815,127989,GA,NSA
818,01/12/2012,555231,172858,1516,179,243032,33112,486791,148949,GA,NSA
819,01/01/2013,533737,161612,1587,141,236745,25645,457931,135317,GA,NSA
820,01/02/2013,485658,143600,1414,113,213613,21707,412913,123006,GA,NSA
821,01/03/2013,605698,163285,1796,134,284952,27294,546994,143146,GA,NSA
822,01/04/2013,592145,152827,1737,128,278121,22445,531700,116811,GA,NSA
823,01/05/2013,613471,156883,1809,128,288365,24971,546824,134410,GA,NSA
824,01/06/2013,633241,155425,1907,141,316286,29186,587565,141295,GA,NSA
825,01/07/2013,673123,190735,2086,252,330667,44875,607140,168901,GA,NSA
826,01/08/2013,676732,189989,2103,253,335049,41576,614212,160803,GA,NSA
827,01/09/2013,576021,176038,1743,209,263137,33660,490330,146597,GA,NSA
828,01/10/2013,602415,176057,1837,210,276648,34206,516257,150275,GA,NSA
829,01/11/2013,574818,175302,1706,217,248055,36703,465257,152501,GA,NSA
830,01/12/2013,605390,184232,1810,235,281912,42539,531868,168300,GA,NSA
831,01/01/2014,576143,208092,1695,256,260269,45249,497499,180941,GA,NSA
832,01/02/2014,508976,188200,1470,231,228118,39694,439152,163115,GA,NSA
833,01/03/2014,630674,219861,1766,263,296747,45846,570275,189165,GA,NSA
834,01/04/2014,640183,205898,1795,224,299396,38284,578993,157487,GA,NSA
835,01/05/2014,672000,213022,1855,231,304437,41305,598575,178548,GA,NSA
836,01/06/2014,677054,208253,1906,240,324467,46045,624605,179986,GA,NSA
837,01/07/2014,705475,239209,1972,320,333957,56171,643249,205934,GA,NSA
838,01/08/2014,716852,239116,2030,321,337992,51936,645111,199072,GA,NSA
839,01/09/2014,668696,225274,1900,295,291182,46223,564812,180218,GA,NSA
840,01/10/2014,694120,224319,1985,311,310932,48097,604080,185717,GA,NSA
841,01/11/2014,642431,246150,1860,336,282043,52378,545309,198190,GA,NSA
842,01/12/2014,649239,272779,1887,414,296149,68464,572209,237917,GA,NSA
843,01/01/2015,625218,285698,1823,457,269241,63325,513455,225819,GA,NSA
844,01/02/2015,567549,237799,1623,365,254813,51688,488666,190923,GA,NSA
845,01/03/2015,708019,268875,2091,412,340332,62593,639496,223598,GA,NSA
846,01/04/2015,687734,248505,1990,354,319652,51244,601815,184661,GA,NSA
847,01/05/2015,726128,263867,2126,362,338719,56368,638070,212035,GA,NSA
848,01/06/2015,755958,270238,2474,403,396026,68867,699207,237811,GA,NSA
849,01/07/2015,800228,324967,2659,445,413335,77834,727727,281516,GA,NSA
850,01/08/2015,813808,333649,2722,423,413862,72256,721421,285576,GA,NSA
851,01/09/2015,698318,299011,2506,340,349416,58268,605295,242697,GA,NSA
852,01/10/2015,727316,281248,2649,328,372976,59186,642244,245287,GA,NSA
853,01/11/2015,694619,257389,2636,311,352297,53969,599253,212937,GA,NSA
854,01/12/2015,692310,298615,2535,386,348428,69870,599605,264692,GA,NSA
855,01/01/2016,671875,299857,2618,390,335674,65159,562677,254740,GA,NSA
856,01/02/2016,641909,271663,2518,338,319142,56348,532855,233992,GA,NSA
857,01/03/2016,759179,292141,2970,361,403692,64777,676554,251056,GA,NSA
858,01/04/2016,773380,282417,3071,348,406396,56324,670860,216940,GA,NSA
859,01/05/2016,817048,274209,3174,326,428155,58633,714696,233872,GA,NSA
860,01/06/2016,849431,284097,3323,346,473972,67496,778380,257109,GA,NSA
861,01/07/2016,898965,294894,3462,361,491635,68450,804899,263600,GA,NSA
862,01/08/2016,872330,282772,3381,345,461432,60706,758816,244837,GA,NSA
863,01/09/2016,730868,260606,2842,296,388290,55046,649934,229890,GA,NSA
864,01/10/2016,740289,261898,2888,297,395805,56619,662672,234622,GA,NSA
865,01/11/2016,681631,218149,2629,260,365484,48635,610879,190207,GA,NSA
866,01/12/2016,718751,263533,2714,367,375791,66516,639189,234504,GA,NSA
867,01/01/2017,661694,,2326,,320928,,558906,,GA,NSA
868,01/02/2017,613007,,2158,,298584,,522787,,GA,NSA
869,01/03/2017,765187,,2666,,391799,,691275,,GA,NSA
870,01/10/2002,833788,274514,3257,248,344439,48353,560011,239867,AA,NSA
871,01/11/2002,776764,266952,3018,239,332760,47199,523299,222103,AA,NSA
872,01/12/2002,834240,280750,3219,258,394772,51693,630767,240815,AA,NSA
873,01/01/2003,814392,280727,3159,261,351436,51244,562675,244018,AA,NSA
874,01/02/2003,712123,244192,2788,222,307248,43568,494869,207809,AA,NSA
875,01/03/2003,809949,265936,3163,244,360295,42447,588826,194981,AA,NSA
876,01/04/2003,735914,196870,2918,185,342323,29373,556939,137506,AA,NSA
877,01/05/2003,741439,200609,2997,185,350501,35614,564396,169184,AA,NSA
878,01/06/2003,748545,196591,2981,186,374409,37816,623043,172906,AA,NSA
879,01/07/2003,814365,203123,3176,194,396722,39519,656010,182561,AA,NSA
880,01/08/2003,784996,204052,3102,196,395401,38606,649671,171051,AA,NSA
881,01/09/2003,708246,195734,2880,180,294159,33516,469027,159108,AA,NSA
882,01/10/2003,736448,214899,2980,186,316958,36398,509835,181844,AA,NSA
883,01/11/2003,730808,207884,2897,188,323008,39050,512131,184766,AA,NSA
884,01/12/2003,787444,217833,3117,198,366998,40343,594983,189114,AA,NSA
885,01/01/2004,785966,219484,3043,199,326983,39768,528386,189928,AA,NSA
886,01/02/2004,730063,198279,2854,174,322835,33819,518090,166090,AA,NSA
887,01/03/2004,802636,211727,3122,186,383143,37999,616424,180582,AA,NSA
888,01/04/2004,799635,207830,3097,180,397745,34601,643115,161305,AA,NSA
889,01/05/2004,786935,214908,3153,186,388540,37582,619545,179900,AA,NSA
890,01/06/2004,803698,205562,3228,178,422536,40479,688918,186699,AA,NSA
891,01/07/2004,828395,214781,3353,186,438084,41668,711898,190636,AA,NSA
892,01/08/2004,831113,212333,3373,185,442094,40914,715791,181902,AA,NSA
893,01/09/2004,731527,205476,3070,180,345831,35627,546608,166478,AA,NSA
894,01/10/2004,752844,207053,3137,184,364917,37440,577695,178169,AA,NSA
895,01/11/2004,681010,204869,2891,180,347728,36775,544808,166407,AA,NSA
896,01/12/2004,703637,230282,2974,195,364286,41776,568345,193967,AA,NSA
897,01/01/2005,633131,248624,2725,204,319788,41725,495793,203079,AA,NSA
898,01/02/2005,592920,223176,2502,184,293890,36483,461315,177081,AA,NSA
899,01/03/2005,687836,238442,2833,200,363567,41659,584038,192656,AA,NSA
900,01/04/2005,637991,204038,2699,184,337428,36380,522497,166342,AA,NSA
901,01/05/2005,658106,211700,2827,186,353575,38464,543085,179888,AA,NSA
902,01/06/2005,675445,231879,2800,229,385617,46026,610057,211723,AA,NSA
903,01/07/2005,704176,245187,2899,247,388237,47490,620978,212229,AA,NSA
904,01/08/2005,694603,245198,2917,247,387002,46367,613122,205715,AA,NSA
905,01/09/2005,626700,215779,2744,216,317383,40575,492153,184585,AA,NSA
906,01/10/2005,647207,214931,2860,216,340369,41557,528893,187565,AA,NSA
907,01/11/2005,650334,208065,2815,209,344390,41196,531548,182614,AA,NSA
908,01/12/2005,684615,238674,2910,227,357531,45380,559832,204981,AA,NSA
909,01/01/2006,658791,249584,2830,233,318159,46886,494014,216797,AA,NSA
910,01/02/2006,634910,228679,2693,213,309780,41398,489892,183418,AA,NSA
911,01/03/2006,729089,253297,2995,238,374726,47051,601822,207176,AA,NSA
912,01/04/2006,711652,244021,2861,232,378915,42279,603523,185229,AA,NSA
913,01/05/2006,717336,210901,3001,198,379495,39385,592150,184297,AA,NSA
914,01/06/2006,731865,242191,2957,255,398158,50290,636774,223811,AA,NSA
915,01/07/2006,756672,260405,3053,283,413644,52962,661983,227234,AA,NSA
916,01/08/2006,754298,261567,3161,283,402623,52192,634264,227496,AA,NSA
917,01/09/2006,643331,241645,2868,232,323817,41556,495411,203077,AA,NSA
918,01/10/2006,658343,234324,2963,220,347233,41793,532516,195128,AA,NSA
919,01/11/2006,655304,208544,2879,196,343839,40352,526720,181714,AA,NSA
920,01/12/2006,679612,232650,2927,216,353733,43930,557126,197006,AA,NSA
921,01/01/2007,655252,246567,2807,208,320007,43824,503113,210451,AA,NSA
922,01/02/2007,592376,224300,2535,193,301248,38798,463517,182297,AA,NSA
923,01/03/2007,688762,242356,2946,216,382097,43745,588491,199079,AA,NSA
924,01/04/2007,650320,208409,2781,195,375025,37764,575688,165918,AA,NSA
925,01/05/2007,654601,212148,2826,197,369459,38634,570253,171789,AA,NSA
926,01/06/2007,652330,208926,2702,219,373488,44629,599675,186124,AA,NSA
927,01/07/2007,686599,222286,2791,231,368874,46867,607179,195874,AA,NSA
928,01/08/2007,695428,225288,2856,234,380098,45914,626216,188046,AA,NSA
929,01/09/2007,564284,206455,2488,186,282432,36340,447534,171072,AA,NSA
930,01/10/2007,619578,221332,2690,193,318345,38666,503168,182600,AA,NSA
931,01/11/2007,614574,281589,2589,214,314680,43400,499892,212076,AA,NSA
932,01/12/2007,641561,332421,2607,253,313719,54933,508796,277647,AA,NSA
933,01/01/2008,577227,338793,2359,261,268373,50830,433717,272485,AA,NSA
934,01/02/2008,573599,300744,2338,239,268175,42732,431720,218690,AA,NSA
935,01/03/2008,637649,311262,2547,227,324424,45797,532541,233961,AA,NSA
936,01/04/2008,595720,296400,2384,218,312127,41121,514520,203726,AA,NSA
937,01/05/2008,608195,308095,2415,228,318781,45885,525458,232032,AA,NSA
938,01/06/2008,640756,308325,2518,240,345392,51945,580536,260972,AA,NSA
939,01/07/2008,685734,291500,2661,240,351502,50181,596667,241850,AA,NSA
